Feature,Importance
Dept,21993.377437828825
Size,9988.870398326413
Store,3169.496075017115
CPI,1597.396293637661
Week,1401.926677410865
Thanksgiving,467.2466523978195
Type,282.2362645829435
Unemployment,167.37215072339603
Temperature,114.28297027243988
Day,86.22156130572202
Month,75.20208552590375
Fuel_Price,22.501683124818555
MarkDown4,21.462189690721424
IsHoliday,19.740112488614066
MarkDown3,11.072183101656629
MarkDown5,8.09415038070947
MarkDown1,8.069372790479065
Year,5.902769766801612
MarkdownsSum,3.625066469193553
MarkDown2,0.7186771522046911
SuperBowlWeek,0.055130604726036835
LaborDay,0.0
Christmas,0.0
